table_num,coords
1,"[77, 381, 109, 397, 124, 390, 93, 374]"
2,"[124, 359, 155, 374, 170, 366, 140, 351]"
3,"[171, 335, 202, 350, 217, 343, 186, 328]"
4,"[217, 311, 248, 327, 263, 320, 233, 304]"
5,"[264, 289, 294, 304, 310, 297, 279, 281]"
6,"[312, 264, 342, 279, 357, 272, 326, 257]"
7,"[357, 241, 388, 257, 403, 249, 373, 234]"
8,"[404, 218, 434, 233, 450, 226, 420, 211]"
9,"[450, 194, 482, 210, 496, 203, 466, 187]"
10,"[497, 172, 528, 187, 542, 180, 512, 165]"
11,"[544, 148, 574, 163, 588, 156, 559, 141]"
12,"[589, 125, 621, 140, 635, 133, 605, 118]"
13,"[635, 102, 667, 117, 682, 110, 651, 94]"
14,"[151, 406, 182, 422, 197, 414, 166, 399]"
15,"[198, 383, 228, 398, 243, 391, 213, 376]"
16,"[245, 360, 275, 375, 290, 368, 259, 353]"
17,"[291, 336, 321, 351, 335, 344, 305, 329]"
18,"[337, 313, 368, 328, 383, 321, 352, 306]"
19,"[387, 290, 416, 304, 431, 297, 400, 283]"
20,"[432, 266, 462, 281, 476, 274, 446, 259]"
21,"[479, 243, 508, 258, 523, 251, 493, 236]"
22,"[525, 219, 555, 234, 569, 227, 539, 213]"
23,"[571, 197, 602, 211, 615, 204, 586, 189]"
24,"[617, 173, 648, 188, 662, 181, 633, 166]"
25,"[664, 150, 694, 165, 708, 158, 678, 143]"
26,"[711, 127, 741, 142, 755, 135, 725, 120]"
27,"[208, 446, 238, 461, 252, 454, 222, 439]"
28,"[254, 423, 286, 438, 299, 431, 268, 416]"
29,"[301, 399, 332, 415, 345, 408, 315, 393]"
30,"[348, 376, 378, 391, 391, 384, 362, 370]"
31,"[394, 353, 424, 368, 438, 361, 409, 346]"
32,"[442, 329, 472, 344, 486, 337, 456, 322]"
33,"[488, 307, 518, 321, 533, 314, 503, 299]"
34,"[535, 283, 565, 297, 579, 291, 548, 276]"
35,"[581, 259, 611, 274, 625, 268, 595, 253]"
36,"[628, 236, 659, 251, 671, 245, 641, 230]"
37,"[675, 213, 704, 228, 717, 221, 689, 207]"
38,"[721, 190, 749, 204, 763, 198, 734, 183]"
39,"[767, 167, 797, 182, 810, 175, 781, 159]"
40,"[337, 443, 367, 458, 379, 452, 349, 437]"
41,"[383, 420, 413, 435, 427, 428, 397, 414]"
42,"[502, 361, 532, 376, 546, 369, 516, 354]"
43,"[592, 316, 621, 331, 635, 325, 605, 310]"
44,"[635, 295, 665, 310, 678, 303, 648, 288]"
45,"[753, 235, 783, 250, 796, 244, 767, 229]"
46,"[797, 214, 827, 228, 840, 222, 810, 208]"
47,"[431, 465, 461, 481, 475, 474, 445, 459]"
48,"[494, 434, 525, 449, 539, 442, 509, 427]"
49,"[570, 396, 600, 411, 614, 405, 584, 390]"
50,"[633, 365, 663, 380, 676, 373, 646, 359]"
51,"[699, 332, 730, 347, 745, 340, 714, 325]"
52,"[774, 294, 805, 309, 819, 302, 788, 287]"
53,"[832, 265, 863, 280, 876, 273, 847, 258]"
54,"[890, 236, 920, 251, 934, 245, 904, 230]"
